day,event_id,machine_partno,machine,problem,fixed_by,fix_detail,issue_dt,finish_dt
11,BNS141106230954,M15501,BNS14,นน.หลุด,H353350,* นน.ยางของ carcass มาเทรนสูงบวกกับหลด L1 * ให้ operator คัดยาง carcass ที่มี นน. สูงออกไว้ก่อนเทรนของ bandage อยู่ค่ากลางแล้วค่อยนำมาสร้างครับ,2023-06-11 09:54:39,2023-06-11 10:10:00
24,PAP202410230802,M13105,PAP20,ค่า X 2กับ X 3 off spec,H353350,?ำการ calibrate drum ให้ใหม่ครับ,2023-10-24 08:02:37,2023-10-24 09:00:00
30,PAP200107260430,M21801,PAP20,B/D ด้าน A  เสียรูป  Satter เปลี่ยนใหม่,H353362,_เปลี่ยน b/d turn up _ด้าน  R  (04.00-04:45),2026-07-01 04:30:34,2026-07-01 04:45:00
1,PAP160211250036,M20001,PAP16,B/D รั่ว ด้าน R,H353362,"00:30-01:00 ปะ b/d ให้สร้าง 
02:00-02:45  เปลี่ยน b/dturn up ด้าน R ใหม่ เเนื่องจากรั่วแผลใหญ่ปะไม่อยู่",2025-11-02 00:36:37,2025-11-02 02:00:00
22,BNS162202250725,M15702,BNS16,BDR รีดบล็อคลม,h355622,"1. Setter ปรับค่า Pitch screw ใหม่
2. ปรับระยะ Auto spray ใหม่
3. ปรับระยะแกนX Rolling down จาก990 เป็น 993",2025-02-22 07:25:21,2025-02-22 08:00:00
17,BNS181705240901,M13105,BNS18,bandage off centering,h355622,"1. เพิ่มระยะ X2
2. ลด Pressure pre conform จาก0.26เป็น 0.24
3. แก้ไขตัว Stopper ATS",2024-05-17 09:01:24,2024-05-17 10:00:00
12,BNS161209251341,M18201,BNS16,BDR รีดบล็อคลม,h355622,"1. จูนพารามิเตอร์ ตอนฉีด Auto spray 4 รอบ
2.ลด Pressure Rolling dow โซน3",2025-09-12 13:41:02,2025-09-12 01:00:00
14,PAP161409251621,M18201,PAP16,RNC Trun พับยับ,็H355622,"1. ทำการเปลี่ยน B/D
2. การทำเปลี่ยน Monchon 2ข้างให้เท่ากัน",2025-09-14 16:21:45,2025-09-16 07:00:00
22,PAP162207251823,M20001,PAP16,ค่า RNC ติดค่า max spec และบาง sector +6,h355622,"1. ทำการปรับค่า ET -1 
2. บาลาน Bladder 
3. เพิ่ม Time Bladder ให้เข้าให้ลึก",2025-07-22 18:23:01,2025-07-22 19:00:00
9,BNS160905240723,M20001,BNS16,Carcass off centering ตอน Per-conformation,h355622,"1. ปรับระยะ X2 เพิ่ม 
2. ปรับระยะ MSB ทั้ง2 ข้าง ขึ้นให้เท่ากัน",2024-05-09 07:23:04,2024-05-09 07:30:00
3,BNS210304251550,M08201,BNS21,BDR ยาว,h355622,"1. ปรับระยะสูงต่ำ Post BDR 370
2. Adjust length BDR 2320เป็น 2300",2025-04-03 15:50:45,2025-04-04 15:00:00
23,BNS192305241739,M10001,BNS19,ขอบ บีท เป็นรอย,h355622,"1. ลด Pressuer จาก 0.5 เป็น 0.4
2. ลดระยะ flang X2",2024-05-23 17:39:46,2024-05-23 18:00:00
15,BNS161505240759,M15501,BNS16,off centering,h355622,1. ลด Speed Flang conform จาก12 เป็น10,2024-05-15 07:59:32,2024-05-15 08:00:00
2,BNS140209221551,M06201,BNS14,carcass off centering step preconform,็H353350,"1.Adjust pressure carcass X1 จาก 150 gr. เป็น 170 gr.
2.Adjust speed flange จาก 2 mm. / sec. เป็น 3 mm. / sec.
3.Adjust flow ลมที่ปล่อยเข้าท้องยางจากของเดิมหมุนเพิ่มไปอีก 5 รอบ",2022-09-02 15:51:02,2022-09-02 22:05:00
4,BNS210409221634,M08201,BNS21,step preconform off centering = 3 mm.,H353350,"1.adjust speed flange form 5 mm. / sec
to 8 mm. / sec.",2022-09-04 16:34:01,2022-09-04 17:35:00
16,TCSM111708230502,M01103,TCSM11,Drum Error,h352944,"1.Change Safety Pin Scerw Drum 
2. Change Spring Extensure Side AR
3. Change Bolt Lock Key Screw Drum
     Siide R",2023-08-17 05:02:51,2023-08-17 11:00:00
17,TCSM111708230727,M01103,TCSM11, Drum  error,h352944,"1.Change Safety Pin Scerw Drum 
2. Change Spring Extensure Side AR
3. Change Bolt Lock Key Screw Drum
     Siide R",2023-08-17 07:27:08,2023-08-17 11:00:00
15,BNS141509251404,M08201,BNS14,เปลี่ยน Part Number M08201เป็นM08203,h355622,"1.ทำการโหลด Recipe 
2. Check tire เส้นแรก",2025-09-15 14:04:35,2025-09-15 14:30:00
15,PAP141509250720,M08203,PAP14,เปลี่ยน Partnuber M08203,h355622,"1.ทำการโหลด Recipe 
2. Check tire เส้นแรก",2025-09-15 07:20:39,2025-09-15 08:00:00
1,BNS160104251048,M20001,BNS16,centering peconform off,h355622,"1.ปรับระยะ Flange 2ข้างให้เท่ากัน 150
2. ลด Pressure Carcass X2 290 เป็น 250
3. ปรับระยะ Flang X2",2025-04-01 10:48:39,2025-04-01 11:00:00
1,BNS160104252358,M20001,BNS16,Carcass off-centering ก่อน Pre,h355622,"1.ปรับระยะ Flange 2ข้างให้เท่ากัน 150
2. ลด Pressure Carcass X2 290 เป็น 250
3. ปรับระยะ Flang X2",2025-04-01 23:58:33,2025-04-01 23:00:00
16,B81607261606,,B8,ด้าม  Bell หัก,H353362,14:00-14:50 นำด้าม  bell เครื่อง B5 ไปประกอบให้ใช้แทนก่อน รอสั่งของใหม่,2026-07-16 16:06:03,2026-07-16 14:50:00
14,RZB51411251522,M21801,RZB5,เสต็ป 1 size M21801  ตุ๊ดไม่ได้,h355622,"Act: ปรับ Step loading-carcass
Offset Adjustment for Left Superior Assembly จาก -20mm เป็น -5mm
Offset Adjustment for Right Superior Assembly จาก -20mm เป็น -5mm",2025-11-14 15:22:22,2025-11-14 15:40:00
26,PAP122610222024,M42201,PAP12,B/D หุบคา Drum,็H353350,Action พี่ไก่เปลี่ยนจุ๊บ bladder turn up ใหม่ทั้งสองด้านและ follow ครับ,2022-10-26 20:24:54,2022-10-26 22:30:00
18,BNS141803241734,M08201,BNS14,BDR off หลังconform,็H355622,Action: ปรับ Flanges pressure zone 3 จาก1200 เป็น1300 ค่ะ,2024-03-18 17:34:51,2024-03-18 23:40:00
19,BNS141903241243,M08201,BNS14,BDR off Centering,H353794,Action: ปรับ Flanges pressure zone 3 จาก1200 เป็น1500 ค่ะ,2024-03-19 12:43:34,2024-03-19 15:00:00
9,BNS160903241837,M13702,BNS16,QO มาปรับ Sector ตอน Summit,็H355622,Action:ฺ Follow  After Cure    QO Thep Follow ต่อหลังปรับค่ะ,2024-03-09 18:37:25,2024-03-10 18:37:00
11,BNS191103260941,M20101,BNS19,สเต็ปรีดปลายBDR รีดไม่สุด,H353350,Action=>>adjust parameter end position rolling down เพิ่มอีก 5 mm. ครับ,2026-03-11 09:41:51,2026-03-11 10:05:00
16,BNS201602262056,M13105,BNS20,StepรีดBDR ไม่สุด,H353350,Action=>>Adjust parameter position roller For End of Fold-back จาก 203 mm.  เป็น 207 mm.,2026-02-16 20:56:15,2026-03-16 21:09:00
19,PAP181903262332,M20201,PAP18,Turn Up พับยับด้าน AR,H353350,Action=>>adjust parameter time high pressure เพิ่มอีก 10 sec ครับ,2026-03-19 23:32:02,2026-03-19 23:55:00
16,PAP21B1703260113,M15105,PAP21B, Bladder turn up step LI ไม่สุด,H353350,Action=>>adjust parameter time low pessure เพิ่มอีก 3 sec. ครับ,2026-03-17 01:13:16,2026-03-17 01:19:00
17,PAP161702261157,M18201,PAP16,Rolldown รีดลมFPU ด้าน ARไม่ออก,H353350,Action=>>adjust stopper rolling down ขึ้นอีก 5 mm. ครับ,2026-02-17 11:57:56,2026-02-17 12:05:00
26,PAP142702260121,M08201,PAP14,มีลมที่FPUหลีงรีด,H353350,Action=>>adjust stopper ขึ้นอีก 5 mm. ครับ,2026-02-27 01:21:14,2026-02-27 01:35:00
16,PAP161703260141,M15702,PAP16,ปรับลม B/D,H353350,Action=>>balance flow bladder ให้ใหม่ครับ,2026-03-17 01:41:22,2026-03-17 02:05:00
4,BNS140403262018,M08201,BNS14,จุด Start ไม่ตรง,H353350,Action=>>calibrate drum ให้ใหม่ครับ,2026-03-04 20:18:58,2026-03-04 20:25:00
2,TCSM170203262345,M18801,TCSM17,ยาง Off  centering,H353350,Action=>>calibrate extensor ใหม่ใหม่ครับ,2026-03-02 23:45:42,2026-03-02 00:05:00
20,BNS182002261115,M20201,BNS18,ไกด์ห่างจากไฟD36,H353350,Action=>>calibrate guide post DXY ใหม่ครับ,2026-02-20 11:15:52,2026-02-20 11:25:00
19,TCSM132003260055,M05102,TCSM13,rolldown  error,H353350,Action=>>calibrate rolling down ให้ใหม่ครับ,2026-03-20 00:55:45,2026-03-20 01:05:00
5,BNS160503262058,M20001,BNS16,FYT  กด Verชิ้นงานไม่ได้,H353350,Action=>>delete app FYT แล้ว install ใหม่ครับ,2026-03-05 20:58:31,2026-03-05 21:09:00
23,TCSM172402260306,M05102,TCSM17,  -Center part  เกย,H353350,Action=>>manual move up move down ให้ใหม่ครับ,2026-02-24 03:06:32,2026-03-24 03:09:00
5,TCSM170503261247,M18801,TCSM17,manual เบ่งยาง,H353350,Action=>>manual เบ่งและจด centering ให้ใหม่ครับ,2026-03-05 12:47:56,2026-03-05 13:05:00
11,BNS141103262323,M06201,BNS14,width BA off spec,H353350,Action=>>request sector 4 ทำการ calibrate headใหม่ครับ,2026-03-11 23:23:03,2026-03-11 04:05:00
20,BNS142003261159,M06201,BNS14,width BA off spec,H353350,Action=>>request sector 4 ทำการ calibrate headใหม่ครับ,2026-03-20 11:59:44,2026-03-20 12:09:00
4,PAP21B0403262041,M15105,PAP21B,Post GI/RIC ลงปูชิ้นงานกระแทก Drum แรง,H353350,"Action=>>request sector 4 มาปรับจูนลม post GI,RIC ให้ใหม่ครับ",2026-03-04 20:41:57,2026-03-04 20:45:00
4,PAP21B0403261704,M15105,PAP21B,B/D ด้าน AR หุบคา Drum,H353350,Action=>>request setter ใส่ตัวกรองลดเสียงช่วยให้เดนช้าลงครับ,2026-03-04 17:04:10,2026-03-04 17:09:00
23,BNS142303260937,M08204,BNS14,ฺBDR ยิงแล้วแดงQAAแจ้งว่าไม่ลิ้งเข้ากับTBL2,H353350,Action=>>update BOM FYT and GET BOM มาที่ TBL2 ใหม่ครับ,2026-03-23 09:37:50,2026-03-23 09:55:00
11,BNS161103260814,M20001,BNS16,Carcass off-centering ตอน Pre-conformation,H353350,Action=>>ตรวจสอบพบว่าคีย์ flange ขาด request setter เปลี่ยนคีย์ flange ใหม่ครับ,2026-03-11 08:14:52,2026-03-11 09:00:00
5,BNS160603260546,M20001,BNS16,BDR รีดไม่สุด INIT เลือก Step สั่งรีดใหม่ไม่ได้,H353350,Action=>>ทำการเคลียร์ fault แล้วกลับมาเข้าหน้าจอปกติก็ได้ครับ,2026-03-06 05:46:35,2026-03-06 06:05:00
20,TCSM172003260909,M18801,TCSM17,ผ้าsOXขาดCENTRANPAXเกย,H353350,Acton=>>request setter มาทำการเปลี่ยน sock และตรวจสอบขา central part ครับ,2026-03-20 09:09:26,2026-03-20 09:25:00
22,BNS142209230721,M08201,BNS14,PV1ไม่ขึ้นสเปก,H353350,Add CBL code ให้ใหม่ครับ,2023-09-22 07:21:40,2023-09-22 07:30:00
7,BNS180711221833,M20201,BNS18,สเตป D37 อยากให้มีสเตปฟรี,H353350,add step free drum rotation ให้ครับ,2022-11-07 18:33:55,2022-11-07 19:00:00
3,PAP180311220907,M20201,PAP18,สเตปปูชิ้นงานโหลดของไม่ได้,H353350,Add step post table ให้ใหม่ครับ,2022-11-03 09:07:52,2022-11-03 12:05:00
3,PAP180311220906,M20201,PAP18,sep ปูชิ้นงานโหลดของไม่ได้,H353350,add step post ให้ใหม่ครับ,2022-11-03 09:06:22,2022-11-03 12:05:00
18,PAP201908230157,M16006,PAP20,trun up บล็อคลม ยับ,H353350,Add step turn up เป็น 3 step ครับ,2023-08-19 01:57:49,2023-08-19 02:30:00
30,PAP133011221850,M18801,PAP13,ไม่มี Step GJ รอยต่อสุดท้าย NC 7,H353350,Add step เข้าไปอีก step ครับ,2022-11-30 18:50:03,2022-11-30 19:05:00
21,PAP202109231625,M05102,PAP20,สเต็ป ปู FPU เรียกขึ้นชิ้นงานไม่ได้,H353350,Add step ให้ใหม่ครับ,2023-09-21 16:25:34,2023-09-21 17:00:00
3,RZB50308221908,M18801,RZB5,หลังTeuse ขอบBeadเป็นจีบใหญ่มาก,็H353350,adjust aprameter turn down step 2 ให้สูงขึ้นจาก 125 mm. เป็น133 mm. ครับ,2022-08-03 19:08:43,2022-08-03 20:01:00
4,BNS210401230734,M18201,BNS21,BDR ยาว,H353794,adjust BDR cut length จาก8เป็น4 follow OK,2023-01-04 07:34:47,2023-01-04 08:10:00
5,PAP21B0501260832,M08201,PAP21B,RZB#6 Tush ยับ ด้าน AR / ด้าน R,H353350,adjust carcass distance ET form 366 mm. to 360 mm. เนื่องจากบีบเข้ามามากเกินไปครับ,2026-01-05 08:32:25,2026-01-05 09:00:00
11,PAP21B1102261345,M15103,PAP21B,RZB6 = Turn / Down พับยับ,H353350,adjust carcass distance ET form 366 mm. to 360 mm. เนื่องจากบีบเข้ามามากเกินไปครับ,2026-02-11 13:45:44,2026-02-11 14:09:00
11,RZB61102261538,M15103,RZB6,Teuse Step1 ยางไหลไปด้าน AR,H35335,adjust carcass distance ET form 366 mm. to 360 mm. เนื่องจากบีบเข้ามามากเกินไปครับ,2026-02-11 15:38:00,2026-02-11 16:00:00
21,BNS212107231650,M08201,BNS21,BDR ปูสั้น,H353350,Adjust cut length BDR + 5 mm. ครับ,2023-07-21 16:50:27,2023-07-21 17:15:00
31,PAP173108221539,M20101,PAP17,post ชน drum,H3533350,"adjust distance table GI,RIC จาก 120 mm.เป็น 150 mm.",2022-08-31 15:39:57,2022-08-31 17:00:00
19,RZB21908221020,M15501,RZB2,คาคาสหมุนหลุดโรเลอร์ด้านขวา,H353350,Adjust ET value ลดลง 5 mm. ครับ,2022-08-19 10:20:20,2022-08-19 12:01:00
6,BNS190607221511,M01103,BNS19,bandage off centering,H353350,Adjust flange portion step preconform จาก 800 mm. เป็น 770 mm. / adjust speed flange step preconform จาก 5 เป็น 12 ครับ,2022-07-06 15:11:29,2022-07-06 16:21:00
24,BNS142402251233,M06201,BNS14,Follow carcass off cantring,H353350,adjust flange position form 395 mm. to 400 mm,2025-02-24 12:33:29,2025-02-24 13:00:00
20,BNS142002250736,M06201,BNS14,Carcass off centering,H353350,adjust flange position form 400 mm. to 395 mm .,2025-02-20 07:36:18,2025-02-20 08:00:00
9,BNS140912222023,M08201,BNS14,ค้างStep Summid,H353350,Adjust flow ลมที่ปล่อยเข้าท้องยางใหม่ครับ,2022-12-09 20:23:03,2022-12-09 20:55:00
19,PAP201901230755,M01103,PAP20,ค่าRNC หลุด isolate,H355622 H353794,Adjust Guide,2023-01-19 07:55:14,2023-01-19 08:30:00
20,BNS212003230735,M20001,BNS21,BDR ปู OFF,H353350,Adjust guide BDR คู่หน้าเข้าอีก 5 mm. จาก 210 mm. เป็น 205 mm. ครับ,2023-03-20 07:35:23,2023-03-20 08:10:00
6,PAP130607221623,M01103,PAP13,เปลียน B/D turn up ใหม่อยากให้มา follow ใหม่,H353350,Adjust high pressure จาก 2 bar.เป็น1.5 bar. / adjust low pressure จาก 1.8 bar.เป็น1.3 bar.( เนื่องจาก safety carbon แตกครับ ),2022-07-06 16:23:18,2022-07-06 17:40:00
5,RZB50509220832,M19001,RZB5,ลูกกลิ้งกดยางเป็นรอย,็H353350,adjust high roller ให้กดสูงขึ้นกว่าเดิมจาก 6 mm. เป็น 8 mm. ครับ,2022-09-05 08:32:03,2022-09-05 09:40:00
27,BNS182712251153,M20201,BNS18,width GCS off spec,H353350,Adjust knife GCS AR+5 mm. / R-5 mm. ครับ,2025-12-27 11:53:18,2025-12-27 12:05:00
25,B62509251626,,B6,B6 8.50-10 (653) Drum เคลื่อนเข้าด้านขวา ทำให้Laser Off Center,h352944,Adjust Laser Center Drum  on Spec,2025-09-25 16:26:54,2025-09-25 15:30:00
10,BNS161002250805,M13702,BNS16,B/Dรั่ว ฝั่งRollingdown,H353350,Adjust nozzel ให้ใหม่ครับ,2025-02-10 08:05:08,2025-02-10 10:30:00
10,BNS161002250958,M13702,BNS16,BDR รีด บล็อคลม ด้านAR/R,H353350,Adjust nozzel ให้ใหม่ครับ,2025-02-10 09:58:20,2025-02-10 10:30:00
26,TCSM172704240039,M20101,TCSM17,เบ่งยางไม่ขึ้น,็H355622,Adjust Parameter,2024-04-27 00:39:21,2024-04-27 01:00:00
5,BNS210507221614,M15702,BNS21,BDR ตัดยาว,H353350,Adjust parameter ( BDR cut lenght เดิม 7 mm. เป็น 0 mm. ) ครับ,2022-07-05 16:14:57,2022-07-05 17:11:00
29,BNS162907220928,M15501,BNS16,Flange หลุดเองขณะ conform,H353350,Adjust parameter auto speed rotation จาก 20 เหลือ 10 ครับ,2022-07-29 09:28:48,2022-07-29 10:01:00
6,TCSM130606222257,M05102,TCSM13,Follow rolling รีดไม่สุด,H353350,Adjust parameter axis X zone4 จาก 262 mm. เป็น 265 mm.,2022-06-06 22:57:14,2022-06-06 23:48:00
19,BNS161906220834,M13702,BNS16,รีด BDR มีลมขัง,็H353350,Adjust parameter axis Y zone3 จาก 2100 mm.เป็น 1550 mm. ครับ,2022-06-19 08:34:38,2022-06-19 09:54:00
8,RZB20804232149,M15501,RZB2,แขนเครื่อง Tuse กดยางหนักด้าน R,H353350,Adjust parameter axis1 เพิ่มอีก 10 mm. ครับ,2023-04-08 21:49:11,2023-04-08 22:15:00
20,RZB12006221616,M42203,RZB1,step1 ไม่มีแรง teuse,H353350,Adjust parameter axis5 จาก 922 เป็น 940 และ follow ครับ,2022-06-20 16:16:15,2022-06-20 18:08:00
3,BNS190303230742,M13105,BNS19,carcass off canter,H353350,Adjust parameter carcass pressure zone2 จาก 0.3 เป็น 0.32 ครับ,2023-03-03 07:42:11,2023-03-03 08:15:00
13,BNS191403230047,M20101,BNS19,BDR สั้น,H353350,Adjust parameter cut length BDR เพิ่มจากเดิม 8 mm.ครับ,2023-03-14 00:47:49,2023-03-14 07:35:00
16,BNS211610220923,M08201,BNS21,bdr.สั้น,H353350,adjust parameter cut length จาก -20 mm. เป็น -14 mm.,2022-10-16 09:23:37,2022-10-16 10:00:00
22,BNS202208220917,M18801,BNS20,ใบมีดตัด BDR ไม่ขาด,H353350,Adjust parameter cut width bdr. เพิ่มจาก 490 mm.เป็น 520 mm. ครับ,2022-08-22 09:17:06,2022-08-22 10:01:00
12,RZB41206251619,M19001,RZB4,step นานเกิน เกินรอบไปเยอะ,H353350,"Adjust parameter distance for foldback turn down step 1,2,3 เดิม 2000 mm. เป็น 1920 mm.ครับ",2025-06-12 16:19:10,2025-06-12 17:00:00
19,PAP201901261058,M01103,PAP20,RollerรีดFEไม่ถึงปีก *ไม่สุด*ด้านR,H353350,adjust parameter end position rolling เพิ่มอีก 15 mm. ครับ,2026-01-19 10:58:14,2026-01-19 11:09:00
25,PAP212501230823,M08201,PAP21,FPU รีดไม่ติด,H353350,Adjust parameter end position เพิ่มอีก 10 mm.,2023-01-25 08:23:57,2023-01-25 09:05:00
18,BNS201808220733,M18801,BNS20,Rolldown รีดBDRเลยถึงขอบFlange,H353350,Adjust parameter end rolling down ให้น้อยลง 5 mm. ครับ,2022-08-18 07:33:46,2022-08-18 08:40:00
8,BNS180806221936,M13105,BNS18,BDR สั้น,H353350,"Adjust parameter lenght of laying BDR
ของเดิม 27 mm.เปลี่ยนเป็น 32 mm.ครัย",2022-06-08 19:36:43,2022-06-08 20:10:00
26,BNS212609250820,M08201,BNS21,BDRยาว,H53350,adjust parameter length BDR - 10 mm. ครับ,2025-09-26 08:20:20,2025-09-26 09:00:00
